Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Tm_y,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Thabo Sefolosha,SF,31,ATL,10,2,20.3,2.2,4.6,.478,0.7,1.9,.368,1.5,2.7,.556,.554,0.8,1.5,.533,0.8,3.3,4.1,1.7,1.0,0.6,1.0,1.7,5.9,ATL,13.5,.561,.413,.326,4.4,16.7,10.9,13.0,2.5,2.7,16.0,13.8,0.1,0.3,0.5,.110,-0.7,2.9,2.2,0.2
Iman Shumpert,SG,25,CLE,21,0,17.5,1.2,2.9,.417,0.6,1.6,.382,0.6,1.2,.462,.525,0.3,0.5,.636,0.5,1.8,2.2,0.8,0.5,0.1,0.6,1.7,3.3,CLE,7.1,.540,.567,.183,3.3,11.7,7.6,6.3,1.4,0.8,16.7,9.8,0.2,0.3,0.5,.062,-2.7,0.9,-1.9,0.0
Jonathon Simmons,SG,26,SAS,3,0,8.7,1.3,3.3,.400,0.7,1.0,.667,0.7,2.3,.286,.500,0.3,0.7,.500,1.0,0.3,1.3,0.7,0.7,0.0,0.3,1.3,3.7,SAS,16.7,.506,.300,.200,14.2,4.2,8.9,11.8,4.0,0.0,8.4,21.3,0.0,0.0,0.1,.156,0.4,0.6,1.0,0.0
Kyle Singler,SF,27,OKC,6,0,8.5,0.5,1.5,.333,0.3,0.7,.500,0.2,0.8,.200,.444,0.0,0.3,.000,0.2,1.0,1.2,0.0,0.2,0.0,0.0,0.7,1.3,OKC,3.6,.405,.444,.222,2.2,12.9,7.7,0.0,1.0,0.0,0.0,8.4,0.0,0.0,0.0,.020,-3.7,-0.2,-3.9,0.0
Marcus Smart,PG,21,BOS,6,1,32.2,3.7,10.0,.367,1.8,5.3,.344,1.8,4.7,.393,.458,2.8,3.5,.810,1.3,3.2,4.5,3.0,1.7,0.8,2.5,2.8,12.0,BOS,12.1,.520,.533,.350,4.1,11.0,7.3,15.8,2.5,2.3,17.8,18.8,0.0,0.4,0.3,.083,-0.4,2.4,2.0,0.2
J.R. Smith,SG,30,CLE,21,21,34.8,3.9,9.0,.436,3.1,7.2,.430,0.8,1.8,.459,.609,0.6,1.0,.619,0.3,2.9,3.2,1.4,1.2,0.2,0.5,2.6,11.5,CLE,12.5,.613,.803,.112,1.1,9.6,5.4,5.8,1.9,0.7,5.3,13.2,1.4,0.6,2.1,.135,0.8,0.9,1.8,0.7
Josh Smith,PF,30,HOU,4,0,9.5,1.5,3.3,.462,1.0,2.0,.500,0.5,1.3,.400,.615,0.0,0.5,.000,0.3,0.3,0.5,1.0,0.3,0.3,1.3,1.8,4.0,HOU,7.6,.576,.615,.154,2.6,3.0,2.8,19.9,1.3,2.3,26.5,20.4,0.0,0.0,0.0,-0.045,-0.2,0.3,0.1,0.0
Marreese Speights,C,28,GSW,24,0,8.4,1.9,4.9,.390,0.8,1.8,.419,1.2,3.1,.373,.466,1.0,1.3,.774,0.6,1.3,2.0,0.5,0.1,0.3,0.8,1.8,5.6,GSW,14.2,.509,.364,.263,8.2,17.0,12.7,9.5,0.7,3.2,13.2,33.1,-0.1,0.2,0.2,.040,-2.7,-1.0,-3.7,-0.1
Lance Stephenson,SF,25,MEM,4,0,23.8,5.8,11.0,.523,0.5,1.3,.400,5.3,9.8,.538,.545,1.0,1.3,.800,0.3,1.3,1.5,1.8,0.3,0.0,0.8,2.5,13.0,MEM,16.8,.563,.114,.114,1.1,7.2,3.7,17.4,0.6,0.0,6.1,23.8,0.2,-0.1,0.1,.066,2.9,-1.7,1.2,0.1
Amar'e Stoudemire,C,33,MIA,9,2,9.1,1.2,2.1,.579,0.0,0.0,,1.2,2.1,.579,.579,0.9,0.9,1.000,0.3,1.1,1.4,0.0,0.6,0.3,1.0,1.6,3.3,MIA,12.4,.666,.000,.421,4.6,13.7,9.4,0.0,3.2,2.8,28.6,18.3,0.0,0.2,0.2,.103,-5.6,1.9,-3.7,0.0
